texto,tarefa
Resuma esta decisão judicial.,resumo_documento
Explique o princípio da insignificância.,explicacao_conceito
Elabore uma procuração simples.,geracao_documento
Existe jurisprudência sobre dano moral em atraso de voo?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
Explique a função do Ministério Público.,explicacao_conceito
Gere um modelo de contrato de aluguel.,geracao_documento
O que diz o artigo 5 da Constituição?,consulta_tecnica
Esta cláusula permite rescisão contratual sem multa?,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
Explique o princípio da insignificância.,explicacao_conceito
Elabore uma procuração simples.,geracao_documento
O que diz o artigo 5 da Constituição?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
O que significa litispendência?,explicacao_conceito
Elabore uma procuração simples.,geracao_documento
Quais os requisitos para aposentadoria especial?,consulta_tecnica
Esta cláusula permite rescisão contratual sem multa?,analise_clausula
Resuma este contrato de prestação de serviços.,resumo_documento
O que significa litispendência?,explicacao_conceito
Crie uma petição inicial de cobrança.,geracao_documento
Quais os requisitos para aposentadoria especial?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Resuma esta decisão judicial.,resumo_documento
Explique o princípio da insignificância.,explicacao_conceito
Elabore uma procuração simples.,geracao_documento
Existe jurisprudência sobre dano moral em atraso de voo?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
Explique o princípio da insignificância.,explicacao_conceito
Crie uma petição inicial de cobrança.,geracao_documento
Quais os requisitos para aposentadoria especial?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Resuma esta decisão judicial.,resumo_documento
Explique a função do Ministério Público.,explicacao_conceito
Gere um modelo de contrato de aluguel.,geracao_documento
Existe jurisprudência sobre dano moral em atraso de voo?,consulta_tecnica
Esta cláusula de fidelização é válida?,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
O que significa litispendência?,explicacao_conceito
Crie uma petição inicial de cobrança.,geracao_documento
Existe jurisprudência sobre dano moral em atraso de voo?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
Explique o princípio da insignificância.,explicacao_conceito
Crie uma petição inicial de cobrança.,geracao_documento
Existe jurisprudência sobre dano moral em atraso de voo?,consulta_tecnica
Esta cláusula permite rescisão contratual sem multa?,analise_clausula
Resuma este contrato de prestação de serviços.,resumo_documento
O que significa litispendência?,explicacao_conceito
Elabore uma procuração simples.,geracao_documento
Quais os requisitos para aposentadoria especial?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
Explique a função do Ministério Público.,explicacao_conceito
Elabore uma procuração simples.,geracao_documento
Existe jurisprudência sobre dano moral em atraso de voo?,consulta_tecnica
Esta cláusula de fidelização é válida?,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
Explique a função do Ministério Público.,explicacao_conceito
Elabore uma procuração simples.,geracao_documento
Quais os requisitos para aposentadoria especial?,consulta_tecnica
Analise cláusula de não concorrência.,analise_clausula
Resuma este contrato de prestação de serviços.,resumo_documento
Explique a função do Ministério Público.,explicacao_conceito
Gere um modelo de contrato de aluguel.,geracao_documento
O que diz o artigo 5 da Constituição?,consulta_tecnica
Esta cláusula de fidelização é válida?,analise_clausula
Faça um resumo desta petição inicial.,resumo_documento
